date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:55:34	109/109	---M-Z	200	added ('OK')	text/plain	date:Thu,%2007%20Aug%202025%2015:55:35%20GMT	https://automark.cl/robots.txt		(from )
11:55:35	92899/92899	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Aug%202025%2015:55:35%20GMT	https://automark.cl/	C:/Users/jsnei/OneDrive%20-%20UNIVERSIDAD%20ANDRES%20BELLO/8%20Trimestre/Ethical%20Hacking/Sumativa%204/Clon_automark/ClonacionSitioAutomark/automark.cl/index.html	(from )
11:55:35	662/662	---M--	200	added ('OK')	image/png	etag:%22296-631f0f98-ac7cb128372691b1;;;%22	https://automark.cl/wp-content/themes/automark/images/favicon-32x32.png	C:/Users/jsnei/OneDrive%20-%20UNIVERSIDAD%20ANDRES%20BELLO/8%20Trimestre/Ethical%20Hacking/Sumativa%204/Clon_automark/ClonacionSitioAutomark/automark.cl/wp-content/themes/automark/images/favicon-32x32.png	(from https://automark.cl/)
11:55:35	353/353	---M--	200	added ('OK')	image/png	etag:%22161-631f0f98-6938e49bb5d72243;;;%22	https://automark.cl/wp-content/themes/automark/images/favicon-16x16.png	C:/Users/jsnei/OneDrive%20-%20UNIVERSIDAD%20ANDRES%20BELLO/8%20Trimestre/Ethical%20Hacking/Sumativa%204/Clon_automark/ClonacionSitioAutomark/automark.cl/wp-content/themes/automark/images/favicon-16x16.png	(from https://automark.cl/)
11:55:35	39751/39751	---M-Z	200	added ('OK')	text/css	etag:%229b47-631f0f58-90c7acb3a21f3b83;gz%22	https://automark.cl/wp-content/themes/automark/css/font-awesome.css	C:/Users/jsnei/OneDrive%20-%20UNIVERSIDAD%20ANDRES%20BELLO/8%20Trimestre/Ethical%20Hacking/Sumativa%204/Clon_automark/ClonacionSitioAutomark/automark.cl/wp-content/themes/automark/css/font-awesome.css	(from https://automark.cl/)
11:55:35	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2007%20Aug%202025%2015:55:36%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/jsnei/OneDrive%20-%20UNIVERSIDAD%20ANDRES%20BELLO/8%20Trimestre/Ethical%20Hacking/Sumativa%204/Clon_automark/ClonacionSitioAutomark/www.googletagmanager.com/gtm.35445.delayed	(from https://automark.cl/)
11:55:36	41838/41838	---M-Z	200	added ('OK')	text/css	etag:%22a36e-682e39b2-a874c93cf77e594f;gz%22	https://automark.cl/wp-content/plugins/instagram-feed/css/sbi-styles.min.css?ver=6.9.1	C:/Users/jsnei/OneDrive%20-%20UNIVERSIDAD%20ANDRES%20BELLO/8%20Trimestre/Ethical%20Hacking/Sumativa%204/Clon_automark/ClonacionSitioAutomark/automark.cl/wp-content/plugins/instagram-feed/css/sbi-styles.min4d80.css	(from https://automark.cl/)
11:55:36	116345/116345	---M-Z	200	added ('OK')	text/css	etag:%221c679-68767bd4-a13c631d7897b5c1;gz%22	https://automark.cl/wp-includes/css/dist/block-library/style.min.css?ver=6.8.2	C:/Users/jsnei/OneDrive%20-%20UNIVERSIDAD%20ANDRES%20BELLO/8%20Trimestre/Ethical%20Hacking/Sumativa%204/Clon_automark/ClonacionSitioAutomark/automark.cl/wp-includes/css/dist/block-library/style.min6c2d.css	(from https://automark.cl/)
11:55:36	29751/29751	---M-Z	200	added ('OK')	text/css	etag:%227437-66f71782-52f9cf2e5fbd3636;gz%22	https://automark.cl/wp-content/themes/automark/css/estilo.css?ver=0.1.5	C:/Users/jsnei/OneDrive%20-%20UNIVERSIDAD%20ANDRES%20BELLO/8%20Trimestre/Ethical%20Hacking/Sumativa%204/Clon_automark/ClonacionSitioAutomark/automark.cl/wp-content/themes/automark/css/estilo4116.css	(from https://automark.cl/)
11:55:37	2178/2178	---M-Z	200	added ('OK')	text/css	etag:%225eb03ffd-882%22	https://cdnjs.cloudflare.com/ajax/libs/tiny-slider/2.9.2/tiny-slider.css?ver=6.8.2	C:/Users/jsnei/OneDrive%20-%20UNIVERSIDAD%20ANDRES%20BELLO/8%20Trimestre/Ethical%20Hacking/Sumativa%204/Clon_automark/ClonacionSitioAutomark/cdnjs.cloudflare.com/ajax/libs/tiny-slider/2.9.2/tiny-slider6c2d.css	(from https://automark.cl/)
